aX,aY,aZ,gX,gY,gZ
2.43,-1.286,9.668,-0.007,0.012,0.005
2.432,-1.31,9.614,-0.017,0.026,0.008
2.43,-1.321,9.632,-0.014,0.026,0.011
2.393,-1.327,9.641,-0.017,0.031,0.014
2.392,-1.321,9.599,-0.008,0.021,0.016
2.403,-1.311,9.664,-0.009,0.021,0.017
2.414,-1.321,9.639,-0.017,0.027,0.014
2.422,-1.312,9.648,-0.005,0.016,0.005
2.403,-1.307,9.659,-0.005,0.017,0.002
2.392,-1.298,9.643,-0.006,0.021,-0.003
2.409,-1.315,9.656,-0.002,0.024,-0.006
2.394,-1.324,9.662,-0.008,0.029,-0.004
2.409,-1.293,9.738,-0.002,0.023,-0.002
2.409,-1.283,9.728,-0.006,0.025,0.004
2.423,-1.277,9.737,0.004,0.011,0
2.417,-1.293,9.72,-0.012,0.024,0.002
2.391,-1.298,9.674,-0.021,0.028,0.002
2.41,-1.298,9.71,-0.022,0.023,-0.001
2.406,-1.292,9.697,-0.028,0.031,0.005
2.417,-1.34,9.706,-0.022,0.027,0.009
2.43,-1.354,9.727,-0.006,0.009,0.006
2.425,-1.343,9.71,-0.015,0.01,0.011
2.442,-1.356,9.675,-0.013,0.003,0.012
2.444,-1.352,9.642,-0.018,0.003,0.01
2.441,-1.353,9.633,-0.022,0.004,0.007
2.429,-1.354,9.599,-0.018,0.003,0
2.44,-1.363,9.602,-0.006,-0.005,-0.007
2.419,-1.376,9.606,0,-0.016,-0.014
2.415,-1.361,9.582,-0.016,0.002,-0.009
2.427,-1.34,9.588,-0.008,-0.002,-0.009
2.409,-1.317,9.572,-0.015,0.004,-0.004
2.41,-1.284,9.627,-0.015,0.001,-0.004
2.385,-1.277,9.572,-0.016,0.006,0
2.372,-1.289,9.554,-0.004,-0.002,-0.004
2.368,-1.253,9.582,-0.008,0.009,-0.004
2.393,-1.244,9.59,-0.002,0.008,-0.001
2.362,-1.255,9.579,0.013,-0.007,0
2.377,-1.28,9.591,0.01,-0.003,0.001
2.371,-1.279,9.562,0.005,0.004,0.004
2.385,-1.246,9.605,0.002,0.005,0.005
2.389,-1.24,9.576,-0.011,0.02,0.01
2.397,-1.308,9.586,-0.017,0.028,0.008
2.408,-1.313,9.626,-0.011,0.026,0.007
2.393,-1.327,9.656,-0.013,0.028,0.009
2.4,-1.345,9.616,0.004,0.014,0.007
2.396,-1.33,9.644,0.004,0.02,0.01
2.413,-1.334,9.639,0,0.026,0.012
2.429,-1.348,9.666,-0.006,0.029,0.016
2.388,-1.34,9.669,0.006,0.014,0.015
2.421,-1.337,9.675,0.008,0.01,0.008
2.388,-1.326,9.68,-0.005,0.019,0.01
2.412,-1.314,9.712,0.001,0.01,0.002
2.412,-1.312,9.7,-0.007,0.016,0
2.414,-1.306,9.711,-0.008,0.016,0.001
2.388,-1.291,9.688,-0.004,0.013,0
2.396,-1.303,9.696,-0.003,0.012,-0.002
2.377,-1.307,9.672,0.007,0.003,-0.002
2.351,-1.284,9.66,0.016,-0.006,-0.002
2.362,-1.267,9.663,0.017,-0.007,0.002
2.386,-1.286,9.702,0.008,-0.004,0.003
2.4,-1.296,9.693,0.005,-0.002,0.009
2.357,-1.32,9.699,0.012,-0.013,0.002
2.378,-1.336,9.685,-0.002,-0.001,0.004
2.397,-1.33,9.663,0.004,-0.005,0.005
2.384,-1.347,9.584,-0.001,0.005,0.01
2.402,-1.362,9.589,0.009,-0.001,0.011
2.391,-1.374,9.573,0,0.01,0.011
2.381,-1.371,9.591,0.01,-0.002,0.01
2.369,-1.357,9.526,0.007,0.005,0.009
2.367,-1.358,9.564,0.01,0.003,0.005
2.384,-1.32,9.584,0.016,0.003,0.001
2.382,-1.338,9.595,0.012,0.007,0.001
2.378,-1.328,9.601,0.006,0.015,-0.001
2.384,-1.326,9.64,0.011,0.012,-0.002
2.377,-1.324,9.6,0.005,0.013,0.002
2.401,-1.296,9.621,0.008,0.011,0.002
2.352,-1.265,9.603,0.002,0.019,0.006
2.385,-1.274,9.585,0.017,0.009,0.006
2.4,-1.289,9.606,0.021,0.011,0.006
2.399,-1.319,9.599,0.022,0.014,0.005
2.445,-1.28,9.645,0.019,0.017,0.006
2.435,-1.273,9.606,0.016,0.02,0.012
2.397,-1.246,9.558,0.016,0.02,0.011
2.391,-1.228,9.565,0.009,0.028,0.01
2.376,-1.232,9.582,0.014,0.023,0.006
2.394,-1.214,9.582,0.025,0.016,0.001
2.393,-1.188,9.644,0.038,0.007,-0.003

0.607,-1.656,9.827,0.045,-0.056,-0.103
0.588,-1.595,9.796,0.04,-0.051,-0.105
0.558,-1.544,9.714,0.05,-0.058,-0.099
0.52,-1.433,9.71,0.064,-0.057,-0.085
0.496,-1.461,9.721,0.091,-0.067,-0.077
0.519,-1.506,9.726,0.102,-0.071,-0.082
0.536,-1.485,9.777,0.092,-0.057,-0.086
0.515,-1.432,9.763,0.095,-0.056,-0.087
0.531,-1.391,9.74,0.093,-0.048,-0.09
0.551,-1.381,9.669,0.077,-0.031,-0.091
0.539,-1.389,9.591,0.074,-0.019,-0.095
0.571,-1.389,9.692,0.069,-0.006,-0.098
0.578,-1.394,9.697,0.074,-0.006,-0.091
0.653,-1.418,9.811,0.08,-0.005,-0.077
0.652,-1.431,9.838,0.086,-0.002,-0.069
0.685,-1.455,9.872,0.089,0,-0.06
0.743,-1.439,9.932,0.087,0.003,-0.06
0.732,-1.414,9.945,0.085,0.001,-0.061
0.794,-1.398,9.988,0.086,-0.006,-0.059
0.788,-1.384,9.997,0.071,0.008,-0.053
0.832,-1.439,10,0.075,0.002,-0.05
